Currency,Rate,Date
USD,1.0,"Sat, 04 Jul 2026 00:00:02 +0000"
AED,3.6725,"Sat, 04 Jul 2026 00:00:02 +0000"
AFN,65.0174,"Sat, 04 Jul 2026 00:00:02 +0000"
ALL,82.572,"Sat, 04 Jul 2026 00:00:02 +0000"
AMD,367.9952,"Sat, 04 Jul 2026 00:00:02 +0000"
ANG,1.79,"Sat, 04 Jul 2026 00:00:02 +0000"
AOA,925.7722,"Sat, 04 Jul 2026 00:00:02 +0000"
ARS,1488.5858,"Sat, 04 Jul 2026 00:00:02 +0000"
AUD,1.4419,"Sat, 04 Jul 2026 00:00:02 +0000"
AWG,1.79,"Sat, 04 Jul 2026 00:00:02 +0000"
AZN,1.7,"Sat, 04 Jul 2026 00:00:02 +0000"
BAM,1.7099,"Sat, 04 Jul 2026 00:00:02 +0000"
BBD,2.0,"Sat, 04 Jul 2026 00:00:02 +0000"
BDT,123.3291,"Sat, 04 Jul 2026 00:00:02 +0000"
BGN,1.7099,"Sat, 04 Jul 2026 00:00:02 +0000"
BHD,0.376,"Sat, 04 Jul 2026 00:00:02 +0000"
BIF,2990.9029,"Sat, 04 Jul 2026 00:00:02 +0000"
BMD,1.0,"Sat, 04 Jul 2026 00:00:02 +0000"
BND,1.2914,"Sat, 04 Jul 2026 00:00:02 +0000"
BOB,6.9329,"Sat, 04 Jul 2026 00:00:02 +0000"
BRL,5.2012,"Sat, 04 Jul 2026 00:00:02 +0000"
BSD,1.0,"Sat, 04 Jul 2026 00:00:02 +0000"
BTN,95.3274,"Sat, 04 Jul 2026 00:00:02 +0000"
BWP,14.3345,"Sat, 04 Jul 2026 00:00:02 +0000"
BYN,2.8998,"Sat, 04 Jul 2026 00:00:02 +0000"
BZD,2.0,"Sat, 04 Jul 2026 00:00:02 +0000"
CAD,1.4197,"Sat, 04 Jul 2026 00:00:02 +0000"
CDF,2272.2881,"Sat, 04 Jul 2026 00:00:02 +0000"
CHF,0.8035,"Sat, 04 Jul 2026 00:00:02 +0000"
CLF,0.02341,"Sat, 04 Jul 2026 00:00:02 +0000"
CLP,925.4544,"Sat, 04 Jul 2026 00:00:02 +0000"
CNH,6.7842,"Sat, 04 Jul 2026 00:00:02 +0000"
CNY,6.7907,"Sat, 04 Jul 2026 00:00:02 +0000"
COP,3388.8484,"Sat, 04 Jul 2026 00:00:02 +0000"
CRC,455.3867,"Sat, 04 Jul 2026 00:00:02 +0000"
CUP,24.0,"Sat, 04 Jul 2026 00:00:02 +0000"
CVE,96.3992,"Sat, 04 Jul 2026 00:00:02 +0000"
CZK,21.1495,"Sat, 04 Jul 2026 00:00:02 +0000"
DJF,177.721,"Sat, 04 Jul 2026 00:00:02 +0000"
DKK,6.5238,"Sat, 04 Jul 2026 00:00:02 +0000"
DOP,59.4557,"Sat, 04 Jul 2026 00:00:02 +0000"
DZD,133.3287,"Sat, 04 Jul 2026 00:00:02 +0000"
EGP,49.1323,"Sat, 04 Jul 2026 00:00:02 +0000"
ERN,15.0,"Sat, 04 Jul 2026 00:00:02 +0000"
ETB,159.5456,"Sat, 04 Jul 2026 00:00:02 +0000"
EUR,0.8743,"Sat, 04 Jul 2026 00:00:02 +0000"
FJD,2.2631,"Sat, 04 Jul 2026 00:00:02 +0000"
FKP,0.749,"Sat, 04 Jul 2026 00:00:02 +0000"
FOK,6.5238,"Sat, 04 Jul 2026 00:00:02 +0000"
GBP,0.749,"Sat, 04 Jul 2026 00:00:02 +0000"
GEL,2.6399,"Sat, 04 Jul 2026 00:00:02 +0000"
GGP,0.749,"Sat, 04 Jul 2026 00:00:02 +0000"
GHS,11.3603,"Sat, 04 Jul 2026 00:00:02 +0000"
GIP,0.749,"Sat, 04 Jul 2026 00:00:02 +0000"
GMD,74.2976,"Sat, 04 Jul 2026 00:00:02 +0000"
GNF,8776.5081,"Sat, 04 Jul 2026 00:00:02 +0000"
GTQ,7.6304,"Sat, 04 Jul 2026 00:00:02 +0000"
GYD,209.2015,"Sat, 04 Jul 2026 00:00:02 +0000"
HKD,7.8431,"Sat, 04 Jul 2026 00:00:02 +0000"
HNL,26.7348,"Sat, 04 Jul 2026 00:00:02 +0000"
HRK,6.587,"Sat, 04 Jul 2026 00:00:02 +0000"
HTG,130.7482,"Sat, 04 Jul 2026 00:00:02 +0000"
HUF,308.9509,"Sat, 04 Jul 2026 00:00:02 +0000"
IDR,17982.2721,"Sat, 04 Jul 2026 00:00:02 +0000"
ILS,2.9943,"Sat, 04 Jul 2026 00:00:02 +0000"
IMP,0.749,"Sat, 04 Jul 2026 00:00:02 +0000"
INR,95.3275,"Sat, 04 Jul 2026 00:00:02 +0000"
IQD,1310.3108,"Sat, 04 Jul 2026 00:00:02 +0000"
IRR,1319304.9651,"Sat, 04 Jul 2026 00:00:02 +0000"
ISK,125.8369,"Sat, 04 Jul 2026 00:00:02 +0000"
JEP,0.749,"Sat, 04 Jul 2026 00:00:02 +0000"
JMD,158.004,"Sat, 04 Jul 2026 00:00:02 +0000"
JOD,0.709,"Sat, 04 Jul 2026 00:00:02 +0000"
JPY,161.2967,"Sat, 04 Jul 2026 00:00:02 +0000"
KES,129.2531,"Sat, 04 Jul 2026 00:00:02 +0000"
KGS,87.434,"Sat, 04 Jul 2026 00:00:02 +0000"
KHR,4041.6196,"Sat, 04 Jul 2026 00:00:02 +0000"
KID,1.4419,"Sat, 04 Jul 2026 00:00:02 +0000"
KMF,430.103,"Sat, 04 Jul 2026 00:00:02 +0000"
KRW,1531.723,"Sat, 04 Jul 2026 00:00:02 +0000"
KWD,0.3101,"Sat, 04 Jul 2026 00:00:02 +0000"
KYD,0.8333,"Sat, 04 Jul 2026 00:00:02 +0000"
KZT,473.9593,"Sat, 04 Jul 2026 00:00:02 +0000"
LAK,22296.7281,"Sat, 04 Jul 2026 00:00:02 +0000"
LBP,89500.0,"Sat, 04 Jul 2026 00:00:02 +0000"
LKR,335.6553,"Sat, 04 Jul 2026 00:00:02 +0000"
LRD,181.5967,"Sat, 04 Jul 2026 00:00:02 +0000"
LSL,16.2226,"Sat, 04 Jul 2026 00:00:02 +0000"
LYD,6.4119,"Sat, 04 Jul 2026 00:00:02 +0000"
MAD,9.3649,"Sat, 04 Jul 2026 00:00:02 +0000"
MDL,17.6212,"Sat, 04 Jul 2026 00:00:02 +0000"
MGA,4265.3523,"Sat, 04 Jul 2026 00:00:02 +0000"
MKD,54.1042,"Sat, 04 Jul 2026 00:00:02 +0000"
MMK,2098.0202,"Sat, 04 Jul 2026 00:00:02 +0000"
MNT,3559.8599,"Sat, 04 Jul 2026 00:00:02 +0000"
MOP,8.0784,"Sat, 04 Jul 2026 00:00:02 +0000"
MRU,39.9213,"Sat, 04 Jul 2026 00:00:02 +0000"
MUR,47.0525,"Sat, 04 Jul 2026 00:00:02 +0000"
MVR,15.4497,"Sat, 04 Jul 2026 00:00:02 +0000"
MWK,1744.0832,"Sat, 04 Jul 2026 00:00:02 +0000"
MXN,17.4683,"Sat, 04 Jul 2026 00:00:02 +0000"
MYR,4.0714,"Sat, 04 Jul 2026 00:00:02 +0000"
MZN,63.5843,"Sat, 04 Jul 2026 00:00:02 +0000"
NAD,16.2226,"Sat, 04 Jul 2026 00:00:02 +0000"
NGN,1369.3102,"Sat, 04 Jul 2026 00:00:02 +0000"
NIO,36.7858,"Sat, 04 Jul 2026 00:00:02 +0000"
NOK,9.8355,"Sat, 04 Jul 2026 00:00:02 +0000"
NPR,152.5238,"Sat, 04 Jul 2026 00:00:02 +0000"
NZD,1.7514,"Sat, 04 Jul 2026 00:00:02 +0000"
OMR,0.3845,"Sat, 04 Jul 2026 00:00:02 +0000"
PAB,1.0,"Sat, 04 Jul 2026 00:00:02 +0000"
PEN,3.4021,"Sat, 04 Jul 2026 00:00:02 +0000"
